Date,Births,Unemployment,Inflation,Births_lag1,Births_lag3,Births_lag6,Unemployment_lag1,Unemployment_lag3,Unemployment_lag6,Inflation_lag1,Inflation_lag3,Inflation_lag6,Unemployment_roll3,Month,IsHoliday,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
1954-01-01,7716.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0
1954-02-01,7161.0,,,7716.0,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0
1954-03-01,8579.0,,,7161.0,,,,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0
1954-04-01,8084.0,,,8579.0,7716.0,,,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0
1954-05-01,8304.0,,,8084.0,7161.0,,,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0
1954-08-01,7557.0,,,8304.0,8579.0,,,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0
1954-10-01,7532.0,,,7557.0,8084.0,7716.0,,,,,,,,10,0,0,0,0,0,0,0,0,0,1,0,0
1954-11-01,6925.0,,,7532.0,8304.0,7161.0,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,1,0
1954-12-01,7482.0,,,6925.0,7557.0,8579.0,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,1
1955-01-01,7849.0,,,7482.0,7532.0,8084.0,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0
1955-02-01,7007.0,,,7849.0,6925.0,8304.0,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0
1955-03-01,8255.0,,,7007.0,7482.0,7557.0,,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0
1955-04-01,8152.0,,,8255.0,7849.0,7532.0,,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0
1955-05-01,8029.0,,,8152.0,7007.0,6925.0,,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0
1955-08-01,7718.0,,,8029.0,8255.0,7482.0,,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0
1955-10-01,7900.0,,,7718.0,8152.0,7849.0,,,,,,,,10,0,0,0,0,0,0,0,0,0,1,0,0
