"Table BT.03: Births registed in Scotland, by month of registration, 1954-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Total,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,,,,,,,,,,,,,,,,,,
1954,"92,315 ","7,716 ","7,161 ","8,579 ","8,084 ","8,304 ","7,709 ","8,173 ","7,557 ","7,093 ","7,532 ","6,925 ","7,482 ",,,,,,,,,,,,,,,,,,
1955,"92,539 ","7,849 ","7,007 ","8,255 ","8,152 ","8,029 ","7,761 ","7,783 ","7,718 ","7,233 ","7,900 ","7,119 ","7,733 ",,,,,,,,,,,,,,,,,,
1956,"95,313 ","8,223 ","7,627 ","8,744 ","8,242 ","8,730 ","7,917 ","7,862 ","7,693 ","7,099 ","8,129 ","7,222 ","7,825 ",,,,,,,,,,,,,,,,,,
1957,"97,977 ","8,476 ","7,775 ","8,508 ","8,481 ","8,620 ","7,873 ","8,383 ","8,309 ","7,408 ","8,606 ","7,693 ","7,845 ",,,,,,,,,,,,,,,,,,
1958,"99,481 ","8,642 ","7,768 ","8,690 ","8,783 ","9,037 ","7,768 ","7,821 ","7,709 ","8,005 ","8,941 ","7,761 ","8,556 ",,,,,,,,,,,,,,,,,,
1959,"99,251 ","8,932 ","7,813 ","8,733 ","8,569 ","8,799 ","8,488 ","8,587 ","8,076 ","7,699 ","8,699 ","7,174 ","7,682 ",,,,,,,,,,,,,,,,,,
1960,"101,292 ","8,105 ","8,170 ","8,955 ","8,721 ","8,972 ","8,483 ","8,483 ","8,554 ","8,018 ","8,674 ","7,886 ","8,271 ",,,,,,,,,,,,,,,,,,
1961,"101,169 ","8,567 ","7,975 ","9,056 ","8,458 ","9,070 ","8,367 ","8,426 ","8,469 ","8,218 ","8,750 ","7,822 ","7,991 ",,,,,,,,,,,,,,,,,,
1962,"104,334 ","9,065 ","7,944 ","9,477 ","8,549 ","9,369 ","8,999 ","8,780 ","8,572 ","8,021 ","9,372 ","8,045 ","8,141 ",,,,,,,,,,,,,,,,,,
1963,"102,691 ","8,850 ","7,972 ","9,060 ","8,895 ","9,089 ","8,433 ","8,956 ","8,730 ","7,976 ","8,856 ","7,892 ","7,982 ",,,,,,,,,,,,,,,,,,
1964,"104,355 ","8,854 ","8,369 ","8,893 ","8,962 ","8,951 ","8,884 ","9,216 ","8,549 ","8,206 ","9,162 ","7,817 ","8,492 ",,,,,,,,,,,,,,,,,,
1965,"100,660 ","8,580 ","7,868 ","9,374 ","8,651 ","8,611 ","8,400 ","8,596 ","8,418 ","7,866 ","8,242 ","7,707 ","8,347 ",,,,,,,,,,,,,,,,,,
1966,"96,536 ","8,006 ","7,571 ","8,485 ","7,947 ","8,191 ","8,090 ","8,064 ","8,526 ","8,139 ","8,221 ","7,439 ","7,857 ",,,,,,,,,,,,,,,,,,
1967,"96,221 ","8,694 ","7,476 ","9,104 ","7,593 ","8,802 ","8,131 ","7,898 ","8,002 ","7,320 ","8,357 ","7,298 ","7,546 ",,,,,,,,,,,,,,,,,,
1968,"94,786 ","8,570 ","7,697 ","8,239 ","8,050 ","8,373 ","7,504 ","8,126 ","7,920 ","7,567 ","7,988 ","7,109 ","7,643 ",,,,,,,,,,,,,,,,,,
1969,"90,290 ","8,317 ","7,161 ","8,117 ","7,741 ","7,854 ","7,322 ","7,696 ","7,245 ","7,297 ","7,936 ","6,239 ","7,365 ",,,,,,,,,,,,,,,,,,
1970,"87,335 ","7,347 ","6,622 ","7,717 ","7,635 ","7,317 ","7,469 ","7,721 ","7,021 ","6,914 ","7,382 ","6,735 ","7,455 ",,,,,,,,,,,,,,,,,,
1971,"86,728 ","7,226 ","6,739 ","8,236 ","7,265 ","7,465 ","7,290 ","7,329 ","7,339 ","6,840 ","7,196 ","6,955 ","6,848 ",,,,,,,,,,,,,,,,,,
1972,"78,550 ","6,824 ","6,521 ","7,126 ","6,240 ","7,004 ","6,720 ","6,341 ","6,700 ","6,264 ","6,590 ","6,120 ","6,100 ",,,,,,,,,,,,,,,,,,
1973,"74,392 ","6,779 ","5,949 ","6,731 ","6,076 ","6,507 ","6,149 ","6,426 ","6,257 ","5,607 ","6,552 ","5,542 ","5,817 ",,,,,,,,,,,,,,,,,,
1974,"70,093 ","6,305 ","5,386 ","5,889 ","5,862 ","6,027 ","5,347 ","6,234 ","5,986 ","5,605 ","6,254 ","5,501 ","5,697 ",,,,,,,,,,,,,,,,,,
1975,"67,943 ","6,101 ","5,212 ","5,459 ","5,944 ","5,807 ","5,495 ","5,998 ","5,606 ","5,548 ","5,876 ","5,059 ","5,838 ",,,,,,,,,,,,,,,,,,
1976,"64,895 ","5,669 ","5,126 ","6,360 ","5,575 ","5,388 ","5,514 ","5,551 ","5,346 ","5,086 ","5,351 ","5,055 ","4,874 ",,,,,,,,,,,,,,,,,,
1977,"62,342 ","5,117 ","4,772 ","5,505 ","4,901 ","5,334 ","5,209 ","5,091 ","5,507 ","5,224 ","5,656 ","5,123 ","4,903 ",,,,,,,,,,,,,,,,,,
1978,"64,295 ","5,262 ","4,902 ","5,611 ","4,852 ","5,555 ","5,429 ","5,283 ","5,681 ","5,378 ","6,027 ","5,277 ","5,038 ",,,,,,,,,,,,,,,,,,
1979,"68,366 ","5,897 ","4,996 ","5,816 ","5,725 ","6,010 ","5,666 ","6,058 ","5,982 ","5,085 ","6,253 ","5,556 ","5,322 ",,,,,,,,,,,,,,,,,,
1980,"68,892 ","5,724 ","5,476 ","5,510 ","5,973 ","5,868 ","5,635 ","6,019 ","5,605 ","5,633 ","6,280 ","5,172 ","5,997 ",,,,,,,,,,,,,,,,,,
1981,"69,054 ","6,052 ","5,333 ","6,150 ","5,739 ","5,610 ","5,767 ","5,929 ","5,745 ","5,573 ","6,119 ","5,446 ","5,591 ",,,,,,,,,,,,,,,,,,
1982,"66,196 ","5,472 ","5,106 ","5,997 ","5,658 ","5,239 ","5,366 ","5,549 ","5,693 ","5,462 ","5,908 ","5,437 ","5,309 ",,,,,,,,,,,,,,,,,,
1983,"65,078 ","5,499 ","4,964 ","5,631 ","5,227 ","5,370 ","5,693 ","5,498 ","5,873 ","5,512 ","5,633 ","5,128 ","5,050 ",,,,,,,,,,,,,,,,,,
1984,"65,106 ","5,383 ","4,937 ","5,347 ","5,154 ","5,448 ","5,316 ","5,798 ","5,853 ","5,200 ","6,158 ","5,453 ","5,059 ",,,,,,,,,,,,,,,,,,
1985,"66,676 ","5,683 ","4,993 ","5,287 ","5,786 ","5,615 ","5,185 ","6,034 ","5,788 ","5,415 ","6,323 ","5,227 ","5,340 ",,,,,,,,,,,,,,,,,,
1986,"65,812 ","5,578 ","4,859 ","5,086 ","6,000 ","5,592 ","5,566 ","5,723 ","5,339 ","5,563 ","5,947 ","5,003 ","5,556 ",,,,,,,,,,,,,,,,,,
1987,"66,241 ","5,540 ","5,019 ","5,529 ","5,462 ","5,364 ","5,899 ","5,955 ","5,540 ","5,525 ","5,883 ","5,189 ","5,336 ",,,,,,,,,,,,,,,,,,
1988,"66,212 ","5,476 ","5,437 ","6,006 ","5,376 ","5,471 ","5,697 ","5,503 ","5,827 ","5,513 ","5,538 ","5,203 ","5,165 ",,,,,,,,,,,,,,,,,,
1989,"63,480 ","5,525 ","4,768 ","5,603 ","4,973 ","5,582 ","5,394 ","5,326 ","5,529 ","5,187 ","5,588 ","5,114 ","4,891 ",,,,,,,,,,,,,,,,,,
1990,"65,973 ","5,725 ","4,926 ","5,496 ","5,287 ","5,624 ","5,430 ","5,957 ","5,816 ","5,160 ","6,275 ","5,439 ","4,838 ",,,,,,,,,,,,,,,,,,
1991,"67,024 ","5,943 ","5,069 ","5,374 ","5,709 ","5,645 ","5,275 ","6,167 ","5,735 ","5,435 ","6,193 ","5,198 ","5,281 ",,,,,,,,,,,,,,,,,,
1992,"65,789 ","5,886 ","4,950 ","5,639 ","5,529 ","5,218 ","5,699 ","5,966 ","5,381 ","5,524 ","5,634 ","5,142 ","5,221 ",,,,,,,,,,,,,,,,,,
1993,"63,337 ","5,333 ","4,783 ","5,660 ","5,286 ","5,014 ","5,327 ","5,581 ","5,519 ","5,368 ","5,493 ","5,175 ","4,798 ",,,,,,,,,,,,,,,,,,
1994,"61,656 ","5,338 ","4,692 ","5,534 ","5,027 ","5,188 ","5,359 ","5,138 ","5,336 ","5,095 ","5,270 ","4,984 ","4,695 ",,,,,,,,,,,,,,,,,,
1995,"60,051 ","5,313 ","4,585 ","5,219 ","4,626 ","5,211 ","5,089 ","5,057 ","5,297 ","4,830 ","5,429 ","5,054 ","4,341 ",,,,,,,,,,,,,,,,,,
1996,"59,296 ","5,371 ","4,682 ","4,476 ","4,885 ","4,864 ","4,491 ","5,247 ","5,172 ","4,703 ","5,772 ","4,800 ","4,833 ",,,,,,,,,,,,,,,,,,
1997,"59,440 ","5,346 ","4,581 ","4,356 ","5,500 ","4,942 ","4,961 ","5,276 ","4,890 ","4,989 ","5,332 ","4,372 ","4,895 ",,,,,,,,,,,,,,,,,,
1998,"57,319 ","4,924 ","4,308 ","4,919 ","4,807 ","4,485 ","4,956 ","5,085 ","4,800 ","4,911 ","5,081 ","4,479 ","4,564 ",,,,,,,,,,,,,,,,,,
1999,"55,147 ","4,635 ","4,287 ","4,951 ","4,703 ","4,366 ","4,834 ","4,718 ","4,789 ","4,600 ","4,503 ","4,551 ","4,210 ",,,,,,,,,,,,,,,,,,
2000,"53,076 ","4,696 ","4,296 ","4,709 ","3,988 ","4,773 ","4,433 ","4,391 ","4,580 ","4,425 ","4,652 ","4,306 ","3,827 ",,,,,,,,,,,,,,,,,,
2001,"52,527 ","4,929 ","4,063 ","4,543 ","4,169 ","4,600 ","4,128 ","4,582 ","4,508 ","4,076 ","4,821 ","4,258 ","3,850 ",,,,,,,,,,,,,,,,,,
2002,"51,270 ","4,561 ","3,797 ","4,016 ","4,332 ","4,460 ","3,833 ","4,640 ","4,421 ","4,158 ","4,820 ","4,143 ","4,089 ",         ,,,,,,,,,,,,,,,,,
2003,"52,432 ","4,664 ","3,987 ","4,113 ","4,244 ","4,272 ","4,389 ","4,787 ","4,491 ","4,480 ","4,719 ","3,996 ","4,290 ",,,,,,,,,,,,,,,,,,
2004,"53,957 ","4,617 ","4,148 ","4,694 ","4,458 ","4,177 ","4,706 ","4,590 ","4,602 ","4,640 ","4,533 ","4,630 ","4,162 ",,,,,,,,,,,,,,,,,,
2005,"54,386 ","4,688 ","4,047 ","4,621 ","4,427 ","4,393 ","4,737 ","4,437 ","5,123 ","4,666 ","4,639 ","4,513 ","4,095 ",,,,,,,,,,,,,,,,,,
2006,"55,690 ","4,839 ","4,044 ","4,685 ","4,202 ","4,905 ","4,932 ","4,663 ","5,033 ","4,485 ","5,287 ","4,583 ","4,032 ",,,,,,,,,,,,,,,,,,
2007,"57,781 ","5,196 ","4,256 ","4,757 ","4,573 ","5,022 ","4,675 ","5,071 ","5,296 ","4,562 ","5,404 ","4,721 ","4,248 ",,,,,,,,,,,,,,,,,,
2008,"60,041 ","5,490 ","4,779 ","4,837 ","4,906 ","5,005 ","4,964 ","5,428 ","4,977 ","5,115 ","5,298 ","4,503 ","4,739 ",,,,,,,,,,,,,,,,,,
2009,"59,046 ","5,224 ","4,393 ","4,888 ","5,030 ","4,684 ","5,152 ","5,335 ","4,999 ","4,924 ","5,180 ","4,645 ","4,592 ",,,,,,,,,,,,,,,,,,
2010,"58,791 ","5,151 ","4,387 ","5,131 ","4,946 ","4,574 ","5,222 ","4,912 ","5,065 ","4,933 ","4,977 ","4,916 ","4,577 ",,,,,,,,,,,,,,,,,,
2011,"58,590 ","5,346 ","4,416 ","4,851 ","4,474 ","5,063 ","5,171 ","4,858 ","5,398 ","4,960 ","4,825 ","4,710 ","4,518 ",,,,,,,,,,,,,,,,,,
2012,"58,027 ","5,283 ","4,560 ","4,929 ","4,630 ","5,006 ","4,709 ","5,011 ","5,149 ","4,527 ","5,337 ","4,918 ","3,968 ",,,,,,,,,,,,,,,,,,
2013,"56,014 ","5,296 ","4,332 ","4,234 ","4,831 ","4,748 ","4,330 ","5,173 ","4,890 ","4,445 ","5,223 ","4,462 ","4,050 ",,,,,,,,,,,,,,,,,,
2014,"56,725 ","5,242 ","4,201 ","4,487 ","4,677 ","4,632 ","4,712 ","5,158 ","4,785 ","4,986 ","5,323 ","4,288 ","4,234 ",,,,,,,,,,,,,,,,,,
