Date,Births
1954-01-01,7716.0
1954-02-01,7161.0
1954-03-01,8579.0
1954-04-01,8084.0
1954-05-01,8304.0
1954-06-01,7709.0
1954-07-01,8173.0
1954-08-01,7557.0
1954-09-01,7093.0
1954-10-01,7532.0
1954-11-01,6925.0
1954-12-01,7482.0
1955-01-01,7849.0
1955-02-01,7007.0
1955-03-01,8255.0
1955-04-01,8152.0
1955-05-01,8029.0
1955-06-01,7761.0
1955-07-01,7783.0
1955-08-01,7718.0
1955-09-01,7233.0
1955-10-01,7900.0
1955-11-01,7119.0
1955-12-01,7733.0
1956-01-01,8223.0
1956-02-01,7627.0
1956-03-01,8744.0
1956-04-01,8242.0
1956-05-01,8730.0
1956-06-01,7917.0
1956-07-01,7862.0
1956-08-01,7693.0
1956-09-01,7099.0
1956-10-01,8129.0
1956-11-01,7222.0
1956-12-01,7825.0
1957-01-01,8476.0
1957-02-01,7775.0
1957-03-01,8508.0
1957-04-01,8481.0
1957-05-01,8620.0
1957-06-01,7873.0
1957-07-01,8383.0
1957-08-01,8309.0
1957-09-01,7408.0
1957-10-01,8606.0
1957-11-01,7693.0
1957-12-01,7845.0
1958-01-01,8642.0
1958-02-01,7768.0
1958-03-01,8690.0
1958-04-01,8783.0
1958-05-01,9037.0
1958-06-01,7768.0
1958-07-01,7821.0
1958-08-01,7709.0
1958-09-01,8005.0
1958-10-01,8941.0
1958-11-01,7761.0
1958-12-01,8556.0
1959-01-01,8932.0
1959-02-01,7813.0
1959-03-01,8733.0
1959-04-01,8569.0
1959-05-01,8799.0
1959-06-01,8488.0
1959-07-01,8587.0
1959-08-01,8076.0
1959-09-01,7699.0
1959-10-01,8699.0
1959-11-01,7174.0
1959-12-01,7682.0
1960-01-01,8105.0
1960-02-01,8170.0
1960-03-01,8955.0
1960-04-01,8721.0
1960-05-01,8972.0
1960-06-01,8483.0
1960-07-01,8483.0
1960-08-01,8554.0
1960-09-01,8018.0
1960-10-01,8674.0
1960-11-01,7886.0
1960-12-01,8271.0
1961-01-01,8567.0
1961-02-01,7975.0
1961-03-01,9056.0
1961-04-01,8458.0
1961-05-01,9070.0
1961-06-01,8367.0
1961-07-01,8426.0
1961-08-01,8469.0
1961-09-01,8218.0
1961-10-01,8750.0
1961-11-01,7822.0
1961-12-01,7991.0
1962-01-01,9065.0
1962-02-01,7944.0
1962-03-01,9477.0
1962-04-01,8549.0
1962-05-01,9369.0
1962-06-01,8999.0
1962-07-01,8780.0
1962-08-01,8572.0
1962-09-01,8021.0
1962-10-01,9372.0
1962-11-01,8045.0
1962-12-01,8141.0
1963-01-01,8850.0
1963-02-01,7972.0
1963-03-01,9060.0
1963-04-01,8895.0
1963-05-01,9089.0
1963-06-01,8433.0
1963-07-01,8956.0
1963-08-01,8730.0
1963-09-01,7976.0
1963-10-01,8856.0
1963-11-01,7892.0
1963-12-01,7982.0
1964-01-01,8854.0
1964-02-01,8369.0
1964-03-01,8893.0
1964-04-01,8962.0
1964-05-01,8951.0
1964-06-01,8884.0
1964-07-01,9216.0
1964-08-01,8549.0
1964-09-01,8206.0
1964-10-01,9162.0
1964-11-01,7817.0
1964-12-01,8492.0
1965-01-01,8580.0
1965-02-01,7868.0
1965-03-01,9374.0
1965-04-01,8651.0
1965-05-01,8611.0
1965-06-01,8400.0
1965-07-01,8596.0
1965-08-01,8418.0
1965-09-01,7866.0
1965-10-01,8242.0
1965-11-01,7707.0
1965-12-01,8347.0
1966-01-01,8006.0
1966-02-01,7571.0
1966-03-01,8485.0
1966-04-01,7947.0
1966-05-01,8191.0
1966-06-01,8090.0
1966-07-01,8064.0
1966-08-01,8526.0
1966-09-01,8139.0
1966-10-01,8221.0
1966-11-01,7439.0
1966-12-01,7857.0
1967-01-01,8694.0
1967-02-01,7476.0
1967-03-01,9104.0
1967-04-01,7593.0
1967-05-01,8802.0
1967-06-01,8131.0
1967-07-01,7898.0
1967-08-01,8002.0
1967-09-01,7320.0
1967-10-01,8357.0
1967-11-01,7298.0
1967-12-01,7546.0
1968-01-01,8570.0
1968-02-01,7697.0
1968-03-01,8239.0
1968-04-01,8050.0
1968-05-01,8373.0
1968-06-01,7504.0
1968-07-01,8126.0
1968-08-01,7920.0
1968-09-01,7567.0
1968-10-01,7988.0
1968-11-01,7109.0
1968-12-01,7643.0
1969-01-01,8317.0
1969-02-01,7161.0
1969-03-01,8117.0
1969-04-01,7741.0
1969-05-01,7854.0
1969-06-01,7322.0
1969-07-01,7696.0
1969-08-01,7245.0
1969-09-01,7297.0
1969-10-01,7936.0
1969-11-01,6239.0
1969-12-01,7365.0
1970-01-01,7347.0
1970-02-01,6622.0
1970-03-01,7717.0
1970-04-01,7635.0
1970-05-01,7317.0
1970-06-01,7469.0
1970-07-01,7721.0
1970-08-01,7021.0
1970-09-01,6914.0
1970-10-01,7382.0
1970-11-01,6735.0
1970-12-01,7455.0
1971-01-01,7226.0
1971-02-01,6739.0
1971-03-01,8236.0
1971-04-01,7265.0
1971-05-01,7465.0
1971-06-01,7290.0
1971-07-01,7329.0
1971-08-01,7339.0
1971-09-01,6840.0
1971-10-01,7196.0
1971-11-01,6955.0
1971-12-01,6848.0
1972-01-01,6824.0
1972-02-01,6521.0
1972-03-01,7126.0
1972-04-01,6240.0
1972-05-01,7004.0
1972-06-01,6720.0
1972-07-01,6341.0
1972-08-01,6700.0
1972-09-01,6264.0
1972-10-01,6590.0
1972-11-01,6120.0
1972-12-01,6100.0
1973-01-01,6779.0
1973-02-01,5949.0
1973-03-01,6731.0
1973-04-01,6076.0
1973-05-01,6507.0
1973-06-01,6149.0
1973-07-01,6426.0
1973-08-01,6257.0
1973-09-01,5607.0
1973-10-01,6552.0
1973-11-01,5542.0
1973-12-01,5817.0
1974-01-01,6305.0
1974-02-01,5386.0
1974-03-01,5889.0
1974-04-01,5862.0
1974-05-01,6027.0
1974-06-01,5347.0
1974-07-01,6234.0
1974-08-01,5986.0
1974-09-01,5605.0
1974-10-01,6254.0
1974-11-01,5501.0
1974-12-01,5697.0
1975-01-01,6101.0
1975-02-01,5212.0
1975-03-01,5459.0
1975-04-01,5944.0
1975-05-01,5807.0
1975-06-01,5495.0
1975-07-01,5998.0
1975-08-01,5606.0
1975-09-01,5548.0
1975-10-01,5876.0
1975-11-01,5059.0
1975-12-01,5838.0
1976-01-01,5669.0
1976-02-01,5126.0
1976-03-01,6360.0
1976-04-01,5575.0
1976-05-01,5388.0
1976-06-01,5514.0
1976-07-01,5551.0
1976-08-01,5346.0
1976-09-01,5086.0
1976-10-01,5351.0
1976-11-01,5055.0
1976-12-01,4874.0
1977-01-01,5117.0
1977-02-01,4772.0
1977-03-01,5505.0
1977-04-01,4901.0
1977-05-01,5334.0
1977-06-01,5209.0
1977-07-01,5091.0
1977-08-01,5507.0
1977-09-01,5224.0
1977-10-01,5656.0
1977-11-01,5123.0
1977-12-01,4903.0
1978-01-01,5262.0
1978-02-01,4902.0
1978-03-01,5611.0
1978-04-01,4852.0
1978-05-01,5555.0
1978-06-01,5429.0
1978-07-01,5283.0
1978-08-01,5681.0
1978-09-01,5378.0
1978-10-01,6027.0
1978-11-01,5277.0
1978-12-01,5038.0
1979-01-01,5897.0
1979-02-01,4996.0
1979-03-01,5816.0
1979-04-01,5725.0
1979-05-01,6010.0
1979-06-01,5666.0
1979-07-01,6058.0
1979-08-01,5982.0
1979-09-01,5085.0
1979-10-01,6253.0
1979-11-01,5556.0
1979-12-01,5322.0
