Year,Unemployment_Rate,Unemployment_Rate_Norm
1992-01-01,9.6,0.9253731343283583
1993-01-01,10.1,1.0
1994-01-01,9.6,0.9253731343283583
1995-01-01,8.9,0.82089552238806
1996-01-01,8.7,0.7910447761194029
1997-01-01,8.1,0.701492537313433
1998-01-01,7.6,0.6268656716417912
1999-01-01,7.1,0.5522388059701492
2000-01-01,6.8,0.5074626865671642
2001-01-01,6.4,0.4477611940298508
2002-01-01,6.3,0.4328358208955224
2003-01-01,5.7,0.34328358208955234
2004-01-01,5.7,0.34328358208955234
2005-01-01,5.4,0.29850746268656725
2006-01-01,5.3,0.28358208955223885
2007-01-01,4.8,0.20895522388059706
2008-01-01,4.7,0.19402985074626877
2009-01-01,7.0,0.537313432835821
2010-01-01,8.2,0.7164179104477612
2011-01-01,8.1,0.701492537313433
2012-01-01,8.0,0.6865671641791046
2013-01-01,7.3,0.582089552238806
2014-01-01,6.0,0.38805970149253743
2015-01-01,5.8,0.35820895522388063
2016-01-01,5.2,0.26865671641791056
2017-01-01,4.2,0.11940298507462688
2018-01-01,3.9,0.07462686567164178
2019-01-01,3.5,0.014925373134328401
2020-01-01,4.5,0.16417910447761197
2021-01-01,4.3,0.13432835820895528
2022-01-01,3.4,0.0
2023-01-01,4.1,0.10447761194029848
2024-01-01,4.0,0.08955223880597019
