title,date,notes,bunting
New Year’s Day,2019-01-01,,True
2nd January,2019-01-02,,True
Good Friday,2019-04-19,,False
Early May bank holiday,2019-05-06,,True
Spring bank holiday,2019-05-27,,True
Summer bank holiday,2019-08-05,,True
St Andrew’s Day,2019-12-02,Substitute day,True
Christmas Day,2019-12-25,,True
Boxing Day,2019-12-26,,True
New Year’s Day,2020-01-01,,True
2nd January,2020-01-02,,True
Good Friday,2020-04-10,,False
Early May bank holiday (VE day),2020-05-08,,True
Spring bank holiday,2020-05-25,,True
Summer bank holiday,2020-08-03,,True
St Andrew’s Day,2020-11-30,,True
Christmas Day,2020-12-25,,True
Boxing Day,2020-12-28,Substitute day,True
New Year’s Day,2021-01-01,,True
2nd January,2021-01-04,Substitute day,True
Good Friday,2021-04-02,,False
Early May bank holiday,2021-05-03,,True
Spring bank holiday,2021-05-31,,True
Summer bank holiday,2021-08-02,,True
St Andrew’s Day,2021-11-30,,True
Christmas Day,2021-12-27,Substitute day,True
Boxing Day,2021-12-28,Substitute day,True
New Year’s Day,2022-01-03,Substitute day,True
2nd January,2022-01-04,Substitute day,True
Good Friday,2022-04-15,,False
Early May bank holiday,2022-05-02,,True
Spring bank holiday,2022-06-02,,True
Platinum Jubilee bank holiday,2022-06-03,,True
Summer bank holiday,2022-08-01,,True
Bank Holiday for the State Funeral of Queen Elizabeth II,2022-09-19,,False
St Andrew’s Day,2022-11-30,,True
Boxing Day,2022-12-26,,True
Christmas Day,2022-12-27,Substitute day,True
New Year’s Day,2023-01-02,Substitute day,True
2nd January,2023-01-03,Substitute day,True
Good Friday,2023-04-07,,False
Early May bank holiday,2023-05-01,,True
Bank holiday for the coronation of King Charles III,2023-05-08,,True
Spring bank holiday,2023-05-29,,True
Summer bank holiday,2023-08-07,,True
St Andrew’s Day,2023-11-30,,True
Christmas Day,2023-12-25,,True
Boxing Day,2023-12-26,,True
New Year’s Day,2024-01-01,,True
2nd January,2024-01-02,,True
Good Friday,2024-03-29,,False
Early May bank holiday,2024-05-06,,True
Spring bank holiday,2024-05-27,,True
Summer bank holiday,2024-08-05,,True
St Andrew’s Day,2024-12-02,Substitute day,True
Christmas Day,2024-12-25,,True
Boxing Day,2024-12-26,,True
New Year’s Day,2025-01-01,,True
2nd January,2025-01-02,,True
Good Friday,2025-04-18,,False
Early May bank holiday,2025-05-05,,True
Spring bank holiday,2025-05-26,,True
Summer bank holiday,2025-08-04,,True
St Andrew’s Day,2025-12-01,Substitute day,True
Christmas Day,2025-12-25,,True
Boxing Day,2025-12-26,,True
New Year’s Day,2026-01-01,,True
2nd January,2026-01-02,,True
Good Friday,2026-04-03,,False
Early May bank holiday,2026-05-04,,True
Spring bank holiday,2026-05-25,,True
Summer bank holiday,2026-08-03,,True
St Andrew’s Day,2026-11-30,,True
Christmas Day,2026-12-25,,True
Boxing Day,2026-12-28,Substitute day,True
New Year’s Day,2027-01-01,,True
2nd January,2027-01-04,Substitute day,True
Good Friday,2027-03-26,,False
Early May bank holiday,2027-05-03,,True
Spring bank holiday,2027-05-31,,True
Summer bank holiday,2027-08-02,,True
St Andrew’s Day,2027-11-30,,True
Christmas Day,2027-12-27,Substitute day,True
Boxing Day,2027-12-28,Substitute day,True
